ETIQUETA;NOMBRE;PRIORIDAD;PROYECTO;TIPO ACTUACIÓN;COORDENADA X;COORDENADA Y;Longitud;Latitud
AO.16.02;Josefa Herradón;2020-2024;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;444830,649;4479587,31;-3.6507507;40.4651282
AO.06.01;Zona Industrial Calle Lérida;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;440604,8275;4478528,65;-3.700494;40.4553
AO.13.01;Méndez Álvaro - Abroñigal;2024-2028;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;442428,974;4468984,045;-3.6781182;40.3694456
AO.18.04;Camino Vasares;2017-2020;Planes Integrales Territoriales de Ordenación y Gestión;Áreas de Oportunidad;448035,319;4470414,467;-3.6122025;40.3827001
IT.16.02;Paseando Hortaleza - Sendas del agua;2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;444546,0835;4479412,918;-3.6540919;40.4635383
IT.12.01;Del Río a Pradolongo;2017-2020;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;440041,781;4470042,478;-3.706334;40.3788122
IT.13.01;Acceso parque Tierno Galván;2020-2024;Proyecto Estratégico de Espacio Público;Itinerarios Estructurantes;443269,0695;4471223,207;-3.6684228;40.3896749
AG.08.01;Colonia Virgen de Begoña;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;441717,25;4481771,916;-3.6876732;40.4845955
AG.08.02;Poblado Dirigido Fuencarral;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;441253,65;4482507,409;-3.693211;40.4911884
AG.08.03;Colonia Lacoma;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;438806,35;4481443,891;-3.7219845;40.481431
AG.10.01;Barrio Campamento;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;434549,7;4472044,883;-3.7712336;40.3964373
AG.10.04;Colonia Puerto Chico;2017-2020;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;435715,6;4471010,336;-3.7573919;40.3872086
AG.10.05;Colonia Batán;2024-2028;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;436323,25;4473225,169;-3.7504547;40.4072073
AG.11.01;Colonia de Loyola - Virgen de la Inmaculada;2020-2024;Planes Integrales Territoriales de Barrios Apirus;Apiru de Gestión;435832,5;4469390,041;-3.7558516;40.3726213
